,firstName,lastName,player_id,team_id
201143,Al,Horford,201143,1610612737
2730,Dwight,Howard,2730,1610612745
1626273,Marcelo,Huertas,1626273,1610612747
203962,Josh,Huestis,203962,1610612760
2743,Kris,Humphries,2743,1610612756
1626154,RJ,Hunter,1626154,1610612738
201586,Serge,Ibaka,201586,1610612760
2738,Andre,Iguodala,2738,1610612744
101141,Ersan,Ilyasova,101141,1610612753
204060,Joe,Ingles,204060,1610612762
203996,Damien,Inglis,203996,1610612749
202681,Kyrie,Irving,202681,1610612739
101127,Jarrett,Jack,101127,1610612751
202704,Reggie,Jackson,202704,1610612765
2544,LeBron,James,2544,1610612739
2744,Al,Jefferson,2744,1610612766
203928,Cory,Jefferson,203928,0
2210,Richard,Jefferson,2210,1610612739
203098,John,Jenkins,203098,1610612742
201943,Brandon,Jennings,201943,1610612753
201973,Jonas,Jerebko,201973,1610612738
101161,Amir,Johnson,101161,1610612738
203187,Chris,Johnson,203187,1610612762
201949,James,Johnson,201949,1610612761
2207,Joe,Johnson,2207,1610612751
203111,Orlando,Johnson,203111,0
1626169,Stanley,Johnson,1626169,1610612765
204020,Tyler,Johnson,204020,1610612748
202325,Wesley,Johnson,202325,1610612746
203999,Nikola,Jokic,203999,1610612743
2592,James,Jones,2592,1610612739
203093,Terrence,Jones,203093,1610612745
1626145,Tyus,Jones,1626145,1610612750
201599,DeAndre,Jordan,201599,1610612746
202709,Cory,Joseph,202709,1610612761
2549,Chris,Kaman,2549,1610612757
1626163,Frank,Kaminsky,1626163,1610612766
202683,Enes,Kanter,202683,1610612760
203508,Sergey,Karasev,203508,1610612751
201619,Sasha,Kaun,201619,1610612739
203527,Ryan,Kelly,203527,1610612747
203077,Michael,Kidd-Gilchrist,203077,1610612766
203930,Sean,Kilpatrick,203930,0
202688,Brandon,Knight,202688,1610612756
2594,Kyle,Korver,2594,1610612737
201585,Kosta,Koufos,201585,1610612758
203897,Zach,LaVine,203897,1610612750
203087,Jeremy,Lamb,203087,1610612766
201171,Carl,Landry,201171,1610612755
203499,Shane,Larkin,203499,1610612751
203530,Joffrey,Lauvergne,203530,1610612743
201951,Ty,Lawson,201951,1610612745
201584,Courtney,Lee,201584,1610612766
101135,David,Lee,101135,1610612742
203458,Alex,Len,203458,1610612756
202695,Kawhi,Leonard,202695,1610612759
203086,Meyers,Leonard,203086,1610612757
202720,Jon,Leuer,202720,1610612756
203081,Damian,Lillard,203081,1610612757
202391,Jeremy,Lin,202391,1610612766
2733,Shaun,Livingston,2733,1610612744
1626172,Kevon,Looney,1626172,1610612744
201572,Brook,Lopez,201572,1610612751
201577,Robin,Lopez,201577,1610612752
201567,Kevin,Love,201567,1610612739
200768,Kyle,Lowry,200768,1610612761
1626168,Trey,Lyles,1626168,1610612762
202714,Shelvin,Mack,202714,1610612762
101133,Ian,Mahinmi,101133,1610612754
203906,Devyn,Marble,203906,1610612753
1626246,Boban,Marjanovic,1626246,1610612759
203088,Kendall,Marshall,203088,1610612755
1626185,Jarell,Martin,1626185,1610612763
2755,Kevin,Martin,2755,1610612750
202083,Wesley,Matthews,202083,1610612742
201564,O.J.,Mayo,201564,1610612749
201601,Luc,Mbah a Moute,201601,1610612746
203949,James Michael,McAdoo,203949,1610612744
203492,Ray,McCallum,203492,1610612759
203468,CJ,McCollum,203468,1610612757
204456,TJ,McConnell,204456,1610612755
1626191,Chris,McCullough,1626191,1610612751
203909,KJ,McDaniels,203909,1610612745
203926,Doug,McDermott,203926,1610612741
203956,Mitch,McGary,203956,1610612760
201580,JaVale,McGee,201580,1610612742
203463,Ben,McLemore,203463,1610612758
203895,Jordan,McRae,203895,1610612756
201177,Josh,McRoberts,201177,1610612748
201975,Jodie,Meeks,201975,1610612765
1626257,Salah,Mejri,1626257,1610612742
1626175,Jordan,Mickey,1626175,1610612738
203114,Khris,Middleton,203114,1610612749
101139,CJ,Miles,101139,1610612754
1889,Andre,Miller,1889,1610612750
2034,Mike,Miller,2034,1610612743
201988,Patty,Mills,201988,1610612759
202407,Elijah,Millsap,202407,0
200794,Paul,Millsap,200794,1610612737
202703,Nikola,Mirotic,202703,1610612741
202328,Greg,Monroe,202328,1610612749
1626242,Luis,Montero,1626242,1610612757
202734,E'Twaun,Moore,202734,1610612741
203961,Eric,Moreland,203961,1610612758
